item_id,status,created_at,sku,price,qty_ordered,grand_total,increment_id,category_name_1,sales_commission_code,discount_amount,payment_method,Working Date,BI Status, MV ,Year,Month,Customer Since,M-Y,FY,Customer ID
211131,complete,07-01-2016,kreations_YI 06-L,1950,1,1950,100147443,Women's Fashion,\N,0,cod,07-01-2016,#REF!,"1,950",2016,7,2016-7,Jul-16,FY17,1
211133,canceled,07-01-2016,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100147444,Beauty & Grooming,\N,0,cod,07-01-2016,Gross,240,2016,7,2016-7,Jul-16,FY17,2
211134,canceled,07-01-2016,Ego_UP0017-999-MR0,2450,1,2450,100147445,Women's Fashion,\N,0,cod,07-01-2016,Gross,"2,450",2016,7,2016-7,Jul-16,FY17,3
211135,complete,07-01-2016,kcc_krone deal,360,1,60,100147446,Beauty & Grooming,R-FSD-52352,300,cod,07-01-2016,Net,360,2016,7,2016-7,Jul-16,FY17,4
211136,order_refunded,07-01-2016,BK7010400AG,555,2,1110,100147447,Soghaat,\N,0,cod,07-01-2016,Valid,"1,110",2016,7,2016-7,Jul-16,FY17,5
211137,canceled,07-01-2016,UK_Namkino All In One 200 Gms,80,1,80,100147448,Soghaat,\N,0,cod,07-01-2016,Gross,80,2016,7,2016-7,Jul-16,FY17,6
211138,complete,07-01-2016,kcc_krone deal,360,1,60,100147449,Beauty & Grooming,\N,300,cod,07-01-2016,Net,360,2016,7,2016-7,Jul-16,FY17,7
211139,complete,07-01-2016,UK_Namkino Mix Nimco 400 Gms,170,1,170,100147450,Soghaat,\N,0,cod,07-01-2016,Net,170,2016,7,2016-7,Jul-16,FY17,6
211140,canceled,07-01-2016,Apple iPhone 6S 64GB,96499,1,96499,100147451,Mobiles & Tablets,\N,0,ublcreditcard,07-01-2016,Gross,"96,499",2016,7,2016-7,Jul-16,FY17,8
211141,canceled,07-01-2016,Apple iPhone 6S 64GB,96499,1,96499,100147452,Mobiles & Tablets,\N,0,mygateway,07-01-2016,Gross,"96,499",2016,7,2016-7,Jul-16,FY17,8
211142,complete,07-01-2016,"GFC_Pedestal Myga Cross Base (Special Guard) 24""",5500,1,5500,100147453,Appliances,\N,0,cod,07-01-2016,Net,"5,500",2016,7,2016-7,Jul-16,FY17,9
